Function name;Address in the binary;Source file;Source lines;ID;Can be analyzed;Nb paths;Unroll info (src loop);Unroll confidence level (src loop);Is main/unrolled;Unroll factor;Path ID;Repetition factor;Nb instr.;Nb uops;Size (bytes);Nb used x86 reg.;Nb used MMX reg.;Nb used XMM reg.;Nb used YMM reg.;Nb stack ref.;Pattern;Nb insn: SS;Nb insn: SD;Nb insn: PS-XMM;Nb insn: PS-YMM;Nb insn: PS-ZMM;Nb insn: PD-XMM;Nb insn: PD-YMM;Nb insn: PD-ZMM;Ratio ADD-SUB / MUL;Fit in cache;Macro-fusion;Nb FLOP: add-sub;Nb FLOP: mul;Nb FLOP: fma;Nb FLOP: div;Nb FLOP: sqrt;Nb FLOP: rcp;Nb FLOP: rsqrt;Bytes prefetched;Bytes loaded;Bytes stored;Arith. intensity (FLOP / ld+st bytes);Arith. intensity extra info;instr. fetch (cycles);predecode (cycles);instr. queue (cycles);decode (cycles);uop queue (cycles);ROB-read (cycles);Front-end (cycles);Nb uops P0;Nb uops P1;Nb uops P2;Nb uops P3;Nb uops P4;Nb uops P5;Nb uops P6;Nb uops P7;Nb uops P8;Nb uops P9;Nb cycles P0;Nb cycles P1;Nb cycles P2;Nb cycles P3;Nb cycles P4;Nb cycles P5;Nb cycles P6;Nb cycles P7;Nb cycles P8;Nb cycles P9;Dispatch (cycles);RecMII (cycles): min;RecMII (cycles): max;Vec. ratio (%): all (INT);Vec. ratio (%): load (INT);Vec. ratio (%): store (INT);Vec. ratio (%): add-sub (INT);Vec. ratio (%): mul (INT);Vec. ratio (%): fma (INT);Vec. ratio (%): other (INT);Vec. ratio (%): all (FP);Vec. ratio (%): load (FP);Vec. ratio (%): store (FP);Vec. ratio (%): add-sub (FP);Vec. ratio (%): mul (FP);Vec. ratio (%): fma (FP);Vec. ratio (%): div/sqrt (FP);Vec. ratio (%): other (FP);Vec. ratio (%): all;Vec. ratio (%): load;Vec. ratio (%): store;Vec. ratio (%): add-sub;Vec. ratio (%): mul;Vec. ratio (%): fma;Vec. ratio (%): div/sqrt;Vec. ratio (%): other;Vec. eff. ratio (%): all (INT);Vec. eff. ratio (%): load (INT);Vec. eff. ratio (%): store (INT);Vec. eff. ratio (%): add-sub (INT);Vec. eff. ratio (%): mul (INT);Vec. eff. ratio (%): fma (INT);Vec. eff. ratio (%): other (INT);Vec. eff. ratio (%): all (FP);Vec. eff. ratio (%): load (FP);Vec. eff. ratio (%): store (FP);Vec. eff. ratio (%): add-sub (FP);Vec. eff. ratio (%): mul (FP);Vec. eff. ratio (%): fma (FP);Vec. eff. ratio (%): div/sqrt (FP);Vec. eff. ratio (%): other (FP);Vec. eff. ratio (%): all;Vec. eff. ratio (%): load;Vec. eff. ratio (%): store;Vec. eff. ratio (%): add-sub;Vec. eff. ratio (%): mul;Vec. eff. ratio (%): fma;Vec. eff. ratio (%): div/sqrt;Vec. eff. ratio (%): other;[L1] Nb cycles: min;[L1] Nb cycles: max;[L1] FLOP/cycle: min;[L1] FLOP/cycle: max;[L1] IPC: min;[L1] IPC: max;[L1] Bytes prefetched / cycle: min;[L1] Bytes prefetched / cycle: max;[L1] Bytes loaded / cycle: min;[L1] Bytes loaded / cycle: max;[L1] Bytes stored / cycle: min;[L1] Bytes stored / cycle: max;[L1] Bytes ld+st / cycle: min;[L1] Bytes ld+st / cycle: max;[L1] Nb cycles if fully vectorized: min;[L1] Nb cycles if fully vectorized: max;[L1] Nb cycles if nomem vectorized: min;[L1] Nb cycles if nomem vectorized: max;[L1] Nb cycles if FP arith vectorized: min;[L1] Nb cycles if FP arith vectorized: max;[L1] Nb cycles if clean: min;[L1] Nb cycles if clean: max;[L1] Nb cycles if only FP: min;[L1] Nb cycles if only FP: max;[L1] Nb cycles if only FP arith: min;[L1] Nb cycles if only FP arith: max;
nnp_acsf_mp_nnp_check_extrapolation_;1c134b8;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;774-790;56713;true;2;unrolled by 13;low;true;13;AVG;1;24.5;23.5;131.5;6;0;0;5;0;NA;0;0;0;0;0;0;9;0;NA;NA;NA;12;0;0;0;0;0;0;0;168;0;0.069711538461538;NA;NA;NA;NA;NA;5.2;NA;5.2;8.5;3.5;3;3;0;4.5;3.5;0;0;0;8.5;3.5;3;3;0;4.5;3.5;0;0;0;8.5;2;2;NA;NA;NA;NA;NA;NA;NA;100;100;NA;100;NA;NA;NA;100;100;100;NA;100;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;50;50;NA;50;NA;NA;NA;50;50;50;NA;50;NA;NA;NA;50;8.5;8.5;1.3714285714286;1.3714285714286;2.8357142857143;2.8357142857143;0;0;19.542857142857;19.542857142857;0;0;19.542857142857;19.542857142857;4.25;4.25;4.25;4.25;4.25;4.25;3.1;3.1;3.1;3.1;2;2;
nnp_acsf_mp_nnp_check_extrapolation_;1c13449;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;785-791;56714;true;2;unrolled by 13;low;false;1;1;1;9;8;32;6;0;3;0;0;SD,x86;0;3;0;0;0;0;0;0;NA;Yes (uop cache);true;1;0;0;0;0;0;0;0;16;0;0.0625;NA;NA;NA;NA;NA;1.8;NA;1.8;2;1.5;1;1;0;1.5;2;0;0;0;2;1.5;1;1;0;1.5;2;0;0;0;2;1;2;0;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;6.25;NA;NA;NA;NA;NA;6.25;12.5;12.5;NA;12.5;NA;NA;NA;12.5;10.9375;12.5;NA;12.5;NA;NA;NA;9.375;2;2;0.5;0.5;4.5;4.5;0;0;8;8;0;0;8;8;0.15625;0.16666666666667;1;1;1;1;1.5;2;1.5;2;1.5;2;
nnp_acsf_mp_nnp_check_extrapolation_;1c13449;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;785-791;56714;true;2;unrolled by 13;low;false;1;2;1;14;14;68;10;0;4;0;0;SD,x86;0;6;0;0;0;0;0;0;NA;Yes (uop cache);true;2;0;0;0;0;0;0;0;40;0;0.05;NA;NA;NA;NA;NA;3.2;NA;3.2;3;2.5;2.5;2.5;0;2.5;3;0;0;0;3;2.5;2.5;2.5;0;2.5;3;0;0;0;3;1;2;0;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;6.25;NA;NA;NA;NA;NA;6.25;12.5;12.5;NA;12.5;NA;NA;NA;12.5;11.607142857143;12.5;NA;12.5;NA;NA;NA;10.416666666667;3.2;3.2;0.625;0.625;4.375;4.375;0;0;12.5;12.5;0;0;12.5;12.5;0.28571428571429;0.28571428571429;1.5625;1.5625;2;2;2;2;2;2;1.5;2;
nnp_acsf_mp_nnp_check_extrapolation_;1c13449;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;785-791;56714;true;2;unrolled by 13;low;false;1;AVG;1;11.5;11;50;8;0;3.5;0;0;NA;0;4.5;0;0;0;0;0;0;NA;NA;NA;1.5;0;0;0;0;0;0;0;28;0;0.05625;NA;NA;NA;NA;NA;2.5;NA;2.5;2.5;2;1.75;1.75;0;2;2.5;0;0;0;2.5;2;1.75;1.75;0;2;2.5;0;0;0;2.5;1;2;0;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;6.25;NA;NA;NA;NA;NA;6.25;12.5;12.5;NA;12.5;NA;NA;NA;12.5;11.272321428571;12.5;NA;12.5;NA;NA;NA;9.8958333333333;2.6;2.6;0.5625;0.5625;4.4375;4.4375;0;0;10.25;10.25;0;0;10.25;10.25;0.22098214285714;0.22619047619048;1.28125;1.28125;1.5;1.5;1.75;2;1.75;2;1.5;2;
nnp_acsf_mp_nnp_check_extrapolation_;1c135d4;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;785-791;56712;true;2;unrolled by 13;low;false;1;1;1;9;8;32;6;0;3;0;0;SD,x86;0;3;0;0;0;0;0;0;NA;Yes (uop cache);true;1;0;0;0;0;0;0;0;16;0;0.0625;NA;NA;NA;NA;NA;1.8;NA;1.8;2;1.5;1;1;0;1.5;2;0;0;0;2;1.5;1;1;0;1.5;2;0;0;0;2;1;2;0;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;6.25;NA;NA;NA;NA;NA;6.25;12.5;12.5;NA;12.5;NA;NA;NA;12.5;10.9375;12.5;NA;12.5;NA;NA;NA;9.375;2;2;0.5;0.5;4.5;4.5;0;0;8;8;0;0;8;8;0.15625;0.16666666666667;1;1;1;1;1.5;2;1.5;2;1.5;2;
nnp_acsf_mp_nnp_check_extrapolation_;1c135d4;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;785-791;56712;true;2;unrolled by 13;low;false;1;2;1;15;15;72;12;0;4;0;0;SD,x86;0;6;0;0;0;0;0;0;NA;Yes (uop cache);true;2;0;0;0;0;0;0;0;40;0;0.05;NA;NA;NA;NA;NA;3.4;NA;3.4;3;3;2.5;2.5;0;3;3;0;0;0;3;3;2.5;2.5;0;3;3;0;0;0;3;1;2;0;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;6.25;NA;NA;NA;NA;NA;6.25;12.5;12.5;NA;12.5;NA;NA;NA;12.5;11.607142857143;12.5;NA;12.5;NA;NA;NA;10.416666666667;3.4;3.4;0.58823529411765;0.58823529411765;4.4117647058824;4.4117647058824;0;0;11.764705882353;11.764705882353;0;0;11.764705882353;11.764705882353;0.2975;0.2975;1.5625;1.5625;2;2;2;2;2;2;1.5;2;
nnp_acsf_mp_nnp_check_extrapolation_;1c135d4;/home/crm98/cp2k_optimized/build/src/nnp_acsf.F;785-791;56712;true;2;unrolled by 13;low;false;1;AVG;1;12;11.5;52;9;0;3.5;0;0;NA;0;4.5;0;0;0;0;0;0;NA;NA;NA;1.5;0;0;0;0;0;0;0;28;0;0.05625;NA;NA;NA;NA;NA;2.6;NA;2.6;2.5;2.25;1.75;1.75;0;2.25;2.5;0;0;0;2.5;2.25;1.75;1.75;0;2.25;2.5;0;0;0;2.5;1;2;0;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;6.25;NA;NA;NA;NA;NA;6.25;12.5;12.5;NA;12.5;NA;NA;NA;12.5;11.272321428571;12.5;NA;12.5;NA;NA;NA;9.8958333333333;2.7;2.7;0.54411764705882;0.54411764705882;4.4558823529412;4.4558823529412;0;0;9.8823529411765;9.8823529411765;0;0;9.8823529411765;9.8823529411765;0.226875;0.23208333333333;1.28125;1.28125;1.5;1.5;1.75;2;1.75;2;1.5;2;
helium_interactions_mp_helium_intpot_nnp_;39ef2bb;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;697-697;141354;true;1;unrolled by 8;max;true;8;1;1;5;4;22;4;0;0;1;0;PD-YMM,x86;0;0;0;0;0;0;2;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;64;0;NA;NA;NA;NA;NA;0.8;NA;0.8;0.5;0.5;0;0;1;0.5;0.5;1;1;1;0.5;0.5;0;0;1;0.5;0.5;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;1;1;0;0;5;5;0;0;0;0;64;64;64;64;1;1;1;1;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ef309;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;697-697;141353;true;1;unrolled by 8;max;false;1;1;1;4;3;12;4;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;8;0;NA;NA;NA;NA;NA;0.6;NA;0.6;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;1;1;0;0;4;4;0;0;0;0;8;8;8;8;0.125;0.125;1;1;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec74f;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;713-718;141350;true;2;multi-versionned;max;NA;NA;1;1;26;25;110;13;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;58;24;0;NA;NA;NA;NA;NA;5;NA;5;3.75;3.75;4.5;4.5;1.5;3.75;3.75;1.5;1.5;1.5;3.75;3.75;4.5;4.5;1.5;3.75;3.75;1.5;1.5;1.5;4.5;1;1;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;11.71875;12.5;12.5;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;11.71875;12.5;12.5;12.5;NA;NA;NA;6.25;5;5;0;0;5.2;5.2;0;0;11.6;11.6;4.8;4.8;16.4;16.4;0.39663461538462;0.39663461538462;1.6875;1.6875;5;5;5;5;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec74f;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;713-718;141350;true;2;multi-versionned;max;NA;NA;2;1;11;10;36;9;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;2;0;0;NA;NA;NA;NA;NA;2;NA;2;2;2;1;1;0;2;2;0;0;0;2;2;1;1;0;2;2;0;0;0;2;1;1;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;0;5.7291666666667;1.5625;NA;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;5.7291666666667;1.5625;NA;12.5;NA;NA;NA;6.25;2;2;0;0;5.5;5.5;0;0;1;1;0;0;1;1;0.09375;0.09375;1;1;2;2;2;2;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec74f;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;713-718;141350;true;2;multi-versionned;max;NA;NA;AVG;1;18.5;17.5;73;11;0;0;0;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;30;12;0;NA;NA;NA;NA;NA;3.5;NA;3.5;2.875;2.875;2.75;2.75;0.75;2.875;2.875;0.75;0.75;0.75;2.875;2.875;2.75;2.75;0.75;2.875;2.875;0.75;0.75;0.75;3.25;1;1;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.7239583333333;7.03125;12.5;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;8.7239583333333;7.03125;12.5;12.5;NA;NA;NA;6.25;3.5;3.5;0;0;5.35;5.35;0;0;6.3;6.3;2.4;2.4;8.7;8.7;0.24519230769231;0.24519230769231;1.34375;1.34375;3.5;3.5;3.5;3.5;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec831;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;713-718;141349;true;2;multi-versionned;max;NA;NA;1;1;26;25;111;15;0;0;0;2;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;74;24;0;NA;NA;NA;NA;NA;5;NA;5;3.75;3.75;5.5;5.5;1.5;3.75;3.75;1.5;1.5;1.5;3.75;3.75;5.5;5.5;1.5;3.75;3.75;1.5;1.5;1.5;5.5;1;1;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;11.71875;12.5;12.5;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;11.71875;12.5;12.5;12.5;NA;NA;NA;6.25;5.5;5.5;0;0;4.7272727272727;4.7272727272727;0;0;13.454545454545;13.454545454545;4.3636363636364;4.3636363636364;17.818181818182;17.818181818182;0.4375;0.4375;1.75;1.75;5.5;5.5;5.5;5.5;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec831;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;713-718;141349;true;2;multi-versionned;max;NA;NA;2;1;11;10;39;9;0;0;0;2;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;18;0;0;NA;NA;NA;NA;NA;2;NA;2;2;2;2;2;0;2;2;0;0;0;2;2;2;2;0;2;2;0;0;0;2;1;1;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;0;5.7291666666667;5.2083333333333;NA;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;5.7291666666667;5.2083333333333;NA;12.5;NA;NA;NA;6.25;2;2;0;0;5.5;5.5;0;0;9;9;0;0;9;9;0.09375;0.09375;1.53125;1.53125;2;2;2;2;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec831;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;713-718;141349;true;2;multi-versionned;max;NA;NA;AVG;1;18.5;17.5;75;12;0;0;0;2;NA;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;46;12;0;NA;NA;NA;NA;NA;3.5;NA;3.5;2.875;2.875;3.75;3.75;0.75;2.875;2.875;0.75;0.75;0.75;2.875;2.875;3.75;3.75;0.75;2.875;2.875;0.75;0.75;0.75;3.75;1;1;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;8.7239583333333;8.8541666666667;12.5;12.5;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;8.7239583333333;8.8541666666667;12.5;12.5;NA;NA;NA;6.25;3.75;3.75;0;0;5.1136363636364;5.1136363636364;0;0;11.227272727273;11.227272727273;2.1818181818182;2.1818181818182;13.409090909091;13.409090909091;0.265625;0.265625;1.640625;1.640625;3.75;3.75;3.75;3.75;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec918;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;705-730;141342;true;2;not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;56;61;274;14;0;8;0;4;PD-XMM,SD,x86;0;14;0;0;0;2;0;0;4;Yes (uop cache);true;4;1;0;0;0;0;0;0;164;28;0.026041666666667;NA;NA;NA;NA;NA;12.2;NA;12.2;9.5;9.5;10.5;10.5;2.5;9.5;9.5;2.5;2.5;2.5;9.5;9.5;10.5;10.5;2.5;9.5;9.5;2.5;2.5;2.5;10.5;1;1;11.111111111111;0;0;0;0;NA;25;12.5;11.111111111111;0;0;0;NA;NA;50;12;8.3333333333333;0;0;0;NA;NA;33.333333333333;12.5;12.5;6.25;12.5;12.5;NA;14.0625;14.0625;13.888888888889;12.5;12.5;12.5;NA;NA;18.75;13.5;13.541666666667;10.9375;12.5;12.5;NA;NA;15.625;12.2;12.2;0.40983606557377;0.40983606557377;4.5901639344262;4.5901639344262;0;0;13.44262295082;13.44262295082;2.2950819672131;2.2950819672131;15.737704918033;15.737704918033;1.14375;1.14375;6.28125;6.28125;6.5625;6.5625;6.2;6.2;5;5;3;3;
helium_interactions_mp_helium_intpot_nnp_;39ec918;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;705-730;141342;true;2;not unrolled or unrolled with no peel/tail loop;max;NA;NA;2;1;6;5;25;4;0;0;0;1;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;4;0;0;NA;NA;NA;NA;NA;1;NA;1;1;1;0.5;0.5;0;1;1;0;0;0;1;1;0.5;0.5;0;1;1;0;0;0;1;1;1;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;6.25;6.25;NA;NA;NA;NA;6.25;NA;NA;NA;NA;NA;NA;NA;NA;6.25;6.25;NA;NA;NA;NA;NA;6.25;1;1;0;0;6;6;0;0;4;4;0;0;4;4;0.0625;0.0625;0.5;0.5;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ec918;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;705-730;141342;true;2;not unrolled or unrolled with no peel/tail loop;max;NA;NA;AVG;1;31;33;149.5;9;0;4;0;2.5;NA;0;7;0;0;0;1;0;0;4;NA;NA;2;0.5;0;0;0;0;0;0;84;14;0.013020833333333;NA;NA;NA;NA;NA;6.6;NA;6.6;5.25;5.25;5.5;5.5;1.25;5.25;5.25;1.25;1.25;1.25;5.25;5.25;5.5;5.5;1.25;5.25;5.25;1.25;1.25;1.25;5.75;1;1;5.5555555555556;0;0;0;0;NA;12.5;12.5;11.111111111111;0;0;0;NA;NA;50;6;4.1666666666667;0;0;0;NA;NA;16.666666666667;9.375;9.375;6.25;12.5;12.5;NA;10.15625;14.0625;13.888888888889;12.5;12.5;12.5;NA;NA;18.75;9.875;9.8958333333333;10.9375;12.5;12.5;NA;NA;10.9375;6.6;6.6;0.20491803278689;0.20491803278689;5.2950819672131;5.2950819672131;0;0;8.7213114754098;8.7213114754098;1.1475409836066;1.1475409836066;9.8688524590164;9.8688524590164;0.603125;0.603125;3.390625;3.390625;3.78125;3.78125;3.6;3.6;3;3;2;2;
helium_interactions_mp_helium_intpot_nnp_;39ef13d;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;733-733;141347;true;1;unrolled by 16;max;false;1;1;1;4;3;12;4;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;8;0;NA;NA;NA;NA;NA;0.6;NA;0.6;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;1;1;0;0;4;4;0;0;0;0;8;8;8;8;0.125;0.125;1;1;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ef14d;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;733-733;141346;true;1;unrolled by 16;max;true;16;1;1;7;6;32;3;0;0;1;0;PD-YMM,x86;0;0;0;0;0;0;4;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;128;0;NA;NA;NA;NA;NA;1.2;NA;1.2;0.5;0.5;0;0;2;0.5;0.5;2;2;2;0.5;0.5;0;0;2;0.5;0.5;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;2;2;0;0;3.5;3.5;0;0;0;0;64;64;64;64;2;2;2;2;2;2;2;2;2;2;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ef198;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;733-733;141345;true;1;unrolled by 16;max;false;4;1;1;4;3;14;3;0;0;1;0;PD-YMM,x86;0;0;0;0;0;0;1;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;32;0;NA;NA;NA;NA;NA;0.6;NA;0.6;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;1;1;0;0;4;4;0;0;0;0;32;32;32;32;0.5;0.5;1;1;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ef1b5;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;733-733;141344;true;1;unrolled by 16;max;false;1;1;1;4;3;12;4;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;8;0;NA;NA;NA;NA;NA;0.6;NA;0.6;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;1;1;0;0;4;4;0;0;0;0;8;8;8;8;0.125;0.125;1;1;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ef1ee;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;733-733;141343;true;1;unrolled by 16;max;false;2;1;1;6;5;19;7;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;16;0;NA;NA;NA;NA;NA;1;NA;1;0.75;0.75;0;0;1;0.75;0.75;1;1;1;0.75;0.75;0;0;1;0.75;0.75;1;1;1;1;1;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;1;1;0;0;6;6;0;0;0;0;16;16;16;16;0.25;0.25;1;1;1;1;1;1;1;1;1;1;
helium_interactions_mp_helium_intpot_nnp_;39ef05b;/home/crm98/cp2k_optimized/build/src/motion/helium_interactions.F;752-752;141341;true;1;unrolled by 8;max;true;8;1;1;5;4;20;3;0;0;1;0;PD-YMM,x86;0;0;0;0;0;0;2;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;64;0;NA;NA;NA;NA;NA;0.8;NA;0.8;0.5;0.5;0;0;1;0.5;0.5;1;1;1;0.5;0.5;0;0;1;0.5;0.5;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;1;1;0;0;5;5;0;0;0;0;64;64;64;64;1;1;1;1;1;1;1;1;1;1;1;1;
